season,district,site,field_lati,field_long,site_latit,site_longi,block_id,seed_id,seed_rate_,seed_cost_,yield_t.ha,EnvIndex_t,RelYield_%,profit_USD,wi1_4326,slope_deg_,sipi91_432,sipi81_432,sipi71_432,savi91_432,savi81_432,savi71_432,npcri91_43,npcri81_43,npcri71_43,ndwi91_432,ndwi81_432,ndwi71_432,ndvi71_432,gci91_4326,gci81_4326,gci71_4326,evi91_4326,evi81_4326,evi71_4326,Composit_1,Composit_2,Composit_3,Composit_4,Composit_5,Composit_6,Composit_7,Composit_8,Composit_9,Composit10,Composit11,Composit12,Composit13,Composit14,Composit15,Composit16,Composit17,Composit18,Composit19,Composit20,Composit21,Composit22,Composit23,Composit24,Composit25,Composit26,Composit27,Composit28,Composit29,Composit30,bsi91_4326,bsi81_4326,bsi71_4326,bi81_4326,bi71_4326,aspect1_43,arvi91_432,arvi81_432,ARVI71_432
LR2018,Ndalu,Lungai,0.794619000000000,34.896990000000002,0.779332000000000,34.903010000000002,"40256",scduma43,7.140000000000000,"52",4.520000000000000,4.465000000000000,1.231803000000000,1321.256000000000085,7.87305,3.36925,1.35422,1.18508,1.09399,0.30687,0.36206,1.09399,0.37500,0.32658,0.29212,-0.51631,-0.55053,-0.63215,0.70634,2.13484,2.44964,3.43696,0.29375,0.35804,0.45445,2198.00000,3204.00000,3202.00000,3185.00000,2902.00000,2654.00000,1749.00000,1254.00000,1016.00000,570.00000,1256.00000,2132.00000,2679.00000,2467.00000,2234.00000,1177.00000,2877.00000,399.00000,834.00000,786.00000,3097.00000,292.00000,698.00000,533.00000,966.00000,1762.00000,2989.00000,2781.00000,2401.00000,1078.00000,0.34230,0.17385,0.08339,0.29824,0.31425,164.05461,0.19911,0.35149,0.52144
LR2018,Ndalu,Lungai,0.794742000000000,34.899500000000003,0.779332000000000,34.903010000000002,"40257",scduma43,7.140000000000000,"52",4.450000000000000,3.842500000000000,15.810020000000000,1299.282999999999902,9.04573,1.67011,1.28378,1.20892,1.08292,0.34305,0.34524,1.08292,0.37772,0.34797,0.25293,-0.53439,-0.55793,-0.64916,0.70884,2.29543,2.52417,3.70060,0.33136,0.33622,0.46660,1952.00000,2975.00000,3334.00000,3246.00000,3061.00000,2758.00000,1729.00000,1107.00000,985.00000,500.00000,1233.00000,2140.00000,2837.00000,2583.00000,2310.00000,1372.00000,2770.00000,386.00000,786.00000,798.00000,3140.00000,319.00000,668.00000,535.00000,962.00000,1853.00000,3238.00000,3142.00000,2654.00000,1136.00000,0.34296,0.20203,0.12221,0.28827,0.31853,236.30994,0.25705,0.32828,0.52749
LR2018,Ndalu,Lungai,0.802209000000000,34.893709999999999,0.779332000000000,34.903010000000002,"40273",scduma43,4.440000000000000,"32",6.680000000000000,6.467500000000000,3.285659000000000,2034.602000000000089,6.86247,1.85270,1.10700,1.08534,1.05136,0.46508,0.44544,1.05136,0.29862,0.27835,0.22969,-0.64220,-0.65319,-0.69403,0.78433,3.58978,3.76693,4.53659,0.48021,0.45512,0.56201,1439.00000,2474.00000,3508.00000,3502.00000,3189.00000,2861.00000,1337.00000,661.00000,763.00000,357.00000,1017.00000,1933.00000,3181.00000,3038.00000,2558.00000,1106.00000,3027.00000,280.00000,635.00000,496.00000,3632.00000,275.00000,656.00000,439.00000,885.00000,1778.00000,3783.00000,3590.00000,2930.00000,1032.00000,0.35638,0.09993,0.04234,0.30674,0.36584,251.56505,0.48967,0.53850,0.63302
LR2018,Ndalu,Lungai,0.781985000000000,34.896690000000000,0.779332000000000,34.903010000000002,"41997",scduma43,5.330000000000000,"39",5.020000000000000,4.742500000000000,5.851344000000000,1485.863000000000056,6.44330,2.81610,1.56533,1.08492,1.06806,0.21667,0.43791,1.06806,0.48318,0.26650,0.27753,-0.52635,-0.64517,-0.68565,0.76145,2.22254,3.63651,4.36227,0.18966,0.44806,0.49671,1821.00000,2518.00000,2528.00000,2230.00000,2414.00000,2076.00000,1262.00000,1036.00000,692.00000,361.00000,898.00000,1770.00000,2807.00000,2678.00000,2383.00000,957.00000,2972.00000,289.00000,641.00000,499.00000,3212.00000,246.00000,599.00000,435.00000,770.00000,1521.00000,3239.00000,2825.00000,2486.00000,913.00000,0.24589,0.10287,0.06406,0.30136,0.32413,350.53769,0.11130,0.53135,0.59797
LR2018,Ndalu,Lungai,0.790014000000000,34.898530000000001,0.779332000000000,34.903010000000002,"42004",scduma43,7.140000000000000,"52",5.620000000000000,5.347500000000000,5.095839000000000,1683.415999999999940,7.31286,2.36123,1.15321,1.12536,1.05493,0.39064,0.41876,1.05493,0.30390,0.29730,0.18527,-0.56948,-0.56724,-0.64369,0.73996,2.64551,2.62153,3.61312,0.39372,0.42565,0.52788,1457.00000,2450.00000,3003.00000,3044.00000,2812.00000,2504.00000,1397.00000,753.00000,835.00000,402.00000,1095.00000,1979.00000,3018.00000,2765.00000,2487.00000,1265.00000,3129.00000,364.00000,864.00000,672.00000,3446.00000,354.00000,747.00000,515.00000,923.00000,1800.00000,3527.00000,3334.00000,2771.00000,1108.00000,0.31358,0.09053,0.07550,0.32003,0.34843,101.30993,0.39176,0.44428,0.57350
LR2018,Ndalu,Lungai,0.783333000000000,34.895049999999998,0.779332000000000,34.903010000000002,"42007",scduma43,6.660000000000000,"49",6.680000000000000,6.267500000000000,6.581572000000000,2034.602000000000089,10.43081,5.88562,1.19384,1.12412,1.07588,0.35591,0.35841,1.07588,0.39024,0.34226,0.38934,-0.60979,-0.62884,-0.72827,0.78693,3.12539,3.38857,5.36018,0.34110,0.34694,0.45496,1666.00000,2439.00000,2732.00000,2665.00000,2492.00000,2208.00000,1245.00000,684.00000,646.00000,300.00000,977.00000,1808.00000,2685.00000,2492.00000,2222.00000,1013.00000,2304.00000,221.00000,525.00000,451.00000,2843.00000,149.00000,447.00000,339.00000,810.00000,1642.00000,3225.00000,3039.00000,2389.00000,891.00000,0.27514,0.12281,0.04385,0.23477,0.28631,25.55997,0.36857,0.47359,0.63052
LR2018,Ndalu,Lungai,0.777127000000000,34.900250000000000,0.779332000000000,34.903010000000002,"42016",scduma43,4.440000000000000,"32",5.800000000000000,5.730000000000000,1.221640000000000,1743.771999999999935,6.63932,2.31542,1.42084,1.14191,1.07287,0.25906,0.37928,1.07287,0.39286,0.32255,0.26515,-0.50099,-0.58002,-0.66732,0.74202,2.00795,2.76210,4.01185,0.24086,0.37510,0.50716,1966.00000,2829.00000,2813.00000,2647.00000,2557.00000,2372.00000,1514.00000,1131.00000,880.00000,493.00000,1148.00000,2121.00000,2977.00000,2759.00000,2491.00000,1232.00000,2720.00000,314.00000,723.00000,613.00000,3383.00000,291.00000,675.00000,501.00000,932.00000,1822.00000,3316.00000,3126.00000,2579.00000,1052.00000,0.28785,0.12364,0.07975,0.27882,0.34199,270.00000,0.16253,0.42441,0.57143
LR2018,Ndalu,Lungai,0.781375000000000,34.896389999999997,0.779332000000000,34.903010000000002,"42019",scduma43,5.330000000000000,"39",5.690000000000000,5.447500000000000,4.451583000000000,1708.106999999999971,11.75588,1.76378,1.15318,1.11234,1.07038,0.40511,0.41236,1.07038,0.31574,0.27691,0.26064,-0.58129,-0.56563,-0.65852,0.74605,2.77660,2.60437,3.85693,0.40862,0.42002,0.49668,1646.00000,2639.00000,3351.00000,3195.00000,3047.00000,2775.00000,1611.00000,773.00000,846.00000,402.00000,1147.00000,2006.00000,2863.00000,2865.00000,2443.00000,1308.00000,2970.00000,346.00000,824.00000,611.00000,3259.00000,278.00000,671.00000,474.00000,895.00000,1714.00000,3223.00000,3070.00000,2677.00000,1039.00000,0.32872,0.07468,0.05692,0.30322,0.32933,336.80142,0.39879,0.46144,0.57726
LR2018,Ndalu,Lungai,0.782958000000000,34.884830000000001,0.779332000000000,34.903010000000002,"42022",scduma43,4.440000000000000,"32",6.550000000000000,6.477500000000000,1.119259000000000,1990.707000000000107,6.51589,5.22750,1.14092,1.09637,1.06277,0.42940,0.44122,1.06277,0.33829,0.29327,0.23787,-0.63596,-0.65767,-0.66332,0.75377,3.49388,3.84227,3.94032,0.43185,0.44916,0.55406,1970.00000,2776.00000,2866.00000,3303.00000,2846.00000,2444.00000,1369.00000,720.00000,735.00000,356.00000,1324.00000,2211.00000,3009.00000,2683.00000,2358.00000,1183.00000,3070.00000,294.00000,634.00000,538.00000,3725.00000,322.00000,754.00000,523.00000,1037.00000,1985.00000,3615.00000,3397.00000,2886.00000,1198.00000,0.33806,0.13506,0.05691,0.31168,0.37615,315.00000,0.43518,0.51532,0.58924
LR2018,Ndalu,Lungai,0.782104000000000,34.898049999999998,0.779332000000000,34.903010000000002,"42023",scduma43,7.140000000000000,"52",3.320000000000000,3.280000000000000,1.219512000000000,926.149300000000039,5.65228,6.19209,1.32920,1.10845,1.07344,0.29423,0.43624,1.07344,0.40450,0.27097,0.23523,-0.54458,-0.57461,-0.62654,0.72167,2.39158,2.70159,3.35535,0.27493,0.45080,0.49287,1909.00000,2886.00000,3067.00000,2659.00000,2912.00000,2643.00000,1581.00000,967.00000,784.00000,410.00000,1365.00000,2399.00000,3101.00000,2881.00000,2670.00000,1430.00000,3250.00000,378.00000,878.00000,659.00000,3297.00000,330.00000,757.00000,533.00000,1146.00000,2001.00000,3474.00000,3226.00000,2766.00000,1234.00000,0.28294,0.08303,0.06543,0.33161,0.33398,63.43495,0.22686,0.46704,0.54571
LR2018,Ndalu,Lungai,0.776823000000000,34.898870000000002,0.779332000000000,34.903010000000002,"42029",scduma43,7.140000000000000,"52",6.450000000000000,6.000000000000000,7.500000000000000,1957.785000000000082,6.96629,1.67011,1.16258,1.12637,1.07171,0.40432,0.41111,1.07171,0.32201,0.30364,0.27047,-0.59152,-0.60703,-0.67904,0.74803,2.89618,3.08943,4.23122,0.40733,0.41498,0.52708,1723.00000,2648.00000,3224.00000,3265.00000,2994.00000,2683.00000,1425.00000,817.00000,838.00000,419.00000,1244.00000,2128.00000,3011.00000,2706.00000,2397.00000,1344.00000,3018.00000,344.00000,738.00000,644.00000,3552.00000,294.00000,679.00000,512.00000,1036.00000,1887.00000,3490.00000,3262.00000,2722.00000,1130.00000,0.33657,0.14484,0.08552,0.30859,0.35887,33.69007,0.38548,0.44602,0.57947
LR2018,Ndalu,Lungai,0.780950000000000,34.900089999999999,0.779332000000000,34.903010000000002,"42031",scduma43,7.140000000000000,"52",3.880000000000000,3.645000000000000,6.447188000000000,1112.729000000000042,5.73518,5.70288,1.35036,1.09364,1.09918,0.28191,0.46689,1.09918,0.36279,0.26580,0.23780,-0.50889,-0.61616,-0.59004,0.65953,2.07238,3.21046,2.87850,0.26858,0.48786,0.42048,2003.00000,3005.00000,3378.00000,2759.00000,3072.00000,2649.00000,1559.00000,1095.00000,898.00000,512.00000,1327.00000,2503.00000,3921.00000,3470.00000,3121.00000,1428.00000,3461.00000,366.00000,822.00000,631.00000,2905.00000,367.00000,749.00000,596.00000,948.00000,1762.00000,3018.00000,2961.00000,2565.00000,1186.00000,0.29684,0.09621,0.12500,0.35181,0.29655,21.37062,0.19795,0.50403,0.46595
LR2018,Ndalu,Lungai,0.788010000000000,34.904190000000000,0.779332000000000,34.903010000000002,"42037",scduma43,4.440000000000000,"32",6.030000000000000,6.392500000000000,-5.670710000000000,1820.587999999999965,6.73855,4.18822,1.35229,1.21085,1.05096,0.28701,0.34029,1.05096,0.43178,0.31804,0.19670,-0.52802,-0.54412,-0.69154,0.76333,2.23750,2.38710,4.48393,0.26409,0.33641,0.51351,1650.00000,2459.00000,2639.00000,2590.00000,2417.00000,2123.00000,1252.00000,955.00000,800.00000,379.00000,1106.00000,1980.00000,2832.00000,2642.00000,2264.00000,1222.00000,2835.00000,446.00000,837.00000,862.00000,3241.00000,292.00000,591.00000,435.00000,852.00000,1683.00000,3240.00000,3039.00000,2434.00000,921.00000,0.27605,0.21958,0.10319,0.29632,0.32701,173.65981,0.21705,0.31109,0.60481
